Thread;Layer;Particle;In;Out;E_in;E_out
G4WT003;L001;e-;0;0;0;0
G4WT003;L001;gamma;0;0;0;0
G4WT003;L001;proton;2;2;20000;19995.7
G4WT003;L002;e-;0;0;0;0
G4WT003;L002;gamma;0;0;0;0
G4WT003;L002;proton;2;2;19995.7;19990.9
G4WT003;L003;e-;0;0;0;0
G4WT003;L003;gamma;0;0;0;0
G4WT003;L003;proton;2;2;19990.9;19946.2
G4WT003;LDET;e-;1;0;0.00111905;0
G4WT003;LDET;gamma;0;0;0;0
G4WT003;LDET;proton;2;2;19891;19891
G4WT001;L001;e-;0;0;0;0
G4WT001;L001;gamma;0;0;0;0
G4WT001;L001;proton;2;2;11000;10995.8
G4WT001;L002;e-;0;0;0;0
G4WT001;L002;gamma;0;0;0;0
G4WT001;L002;proton;2;2;10995.8;10982.6
G4WT001;L003;e-;0;0;0;0
G4WT001;L003;gamma;0;1;0;8.44043
G4WT001;L003;proton;2;2;10982.6;10899.4
G4WT001;LDET;e-;2;0;0.00320706;0
G4WT001;LDET;gamma;1;1;8.44043;8.44043
G4WT001;LDET;proton;2;2;10886.9;10886.9
G4WT002;L001;e-;0;1;0;2.25972
G4WT002;L001;gamma;0;0;0;0
G4WT002;L001;proton;2;2;20000;19993.7
G4WT002;L002;e-;1;1;2.25972;1.45787
G4WT002;L002;gamma;0;0;0;0
G4WT002;L002;proton;2;2;19993.7;19983
G4WT002;L003;e-;1;0;1.45787;0
G4WT002;L003;gamma;0;0;0;0
G4WT002;L003;proton;2;2;19983;19887.7
G4WT002;LDET;e-;0;0;0;0
G4WT002;LDET;gamma;0;0;0;0
G4WT002;LDET;proton;2;2;19873.7;19873.7
G4WT000;L001;e-;0;0;0;0
G4WT000;L001;gamma;0;0;0;0
G4WT000;L001;proton;4;4;22000;21996
G4WT000;L002;e-;0;1;0;0.883773
G4WT000;L002;gamma;0;0;0;0
G4WT000;L002;proton;4;4;21996;21972.6
G4WT000;L003;e-;1;0;0.883773;0
G4WT000;L003;gamma;0;0;0;0
G4WT000;L003;proton;4;4;21972.6;21937.6
G4WT000;LDET;e-;2;0;0.00373436;0
G4WT000;LDET;gamma;0;0;0;0
G4WT000;LDET;proton;4;4;21781.5;21781.5
G4_MAIN;L001;e-;0;1;0;2.25972
G4_MAIN;L001;proton;10;10;73000;72981.3
G4_MAIN;L002;e-;1;2;2.25972;2.34164
G4_MAIN;L002;proton;10;10;72981.3;72929.2
G4_MAIN;L003;e-;2;0;2.34164;0
G4_MAIN;L003;gamma;0;1;0;8.44043
G4_MAIN;L003;proton;10;10;72929.2;72670.9
G4_MAIN;LDET;e-;5;0;0.00806048;0
G4_MAIN;LDET;gamma;1;1;8.44043;8.44043
G4_MAIN;LDET;proton;10;10;72433.1;72433.1
