Particle;Alias;isCustom;Energy;Flux;Count;Pct
C16;Carbon;Y;10.000000;1.000000;5974;5.00
proton;proton;N;10.000000;1.000000;5929;5.00
O16;Oxygen;Y;10.000000;1.000000;5957;5.00
Ne20;Neon;Y;10.000000;1.000000;5928;5.00
Mg24;Magnesium;Y;10.000000;1.000000;6081;6.00
Si28;Silicon;Y;10.000000;1.000000;5775;5.00
Fe56;Iron;Y;10.000000;1.000000;5949;5.00
N14;Nitrogen;Y;10.000000;1.000000;5858;5.00
Na23;Sodium;Y;10.000000;1.000000;5829;5.00
Ca40;Calcium;Y;10.000000;1.000000;5690;5.00
Ni58;Nickel;Y;10.000000;1.000000;5950;5.00
Al27;Aluminum;Y;10.000000;1.000000;5850;5.00
P31;Phosphorus;Y;10.000000;1.000000;5893;5.00
S32;Sulfur;Y;10.000000;1.000000;5882;5.00
Ar40;Argon;Y;10.000000;1.000000;5823;5.00
Zn64;Zinc;Y;10.000000;1.000000;5879;5.00
U238;Uranium;Y;10.000000;1.000000;5753;5.00
