Thread;LayerIdx;Layer;Particle;In;Out;E_In;E_Out;E_Dep;WTNEDose
G4_MAIN;L001;AlLayer1;Al27;5850;0;58500.000000;0.000000;58826.213141;0.000000
G4_MAIN;L001;AlLayer1;Al28;0;0;0.000000;0.000000;0.037569;0.000000
G4_MAIN;L001;AlLayer1;Ar40;5823;0;58230.000000;0.000000;58989.111647;0.000000
G4_MAIN;L001;AlLayer1;C16;5974;0;59740.000000;0.000000;59787.733305;0.000000
G4_MAIN;L001;AlLayer1;Ca40;5690;0;56900.000000;0.000000;53047.121771;0.000000
G4_MAIN;L001;AlLayer1;Fe56;5949;0;59490.000000;0.000000;55311.040330;0.000000
G4_MAIN;L001;AlLayer1;Mg24;6081;0;60810.000000;0.000000;60819.521982;0.000000
G4_MAIN;L001;AlLayer1;N14;5858;0;58580.000000;0.000000;58583.002828;0.000000
G4_MAIN;L001;AlLayer1;N15;0;0;0.000000;0.000000;372.889664;0.000000
G4_MAIN;L001;AlLayer1;N16;0;0;0.000000;0.000000;0.022536;0.000000
G4_MAIN;L001;AlLayer1;N16[120.420];0;0;0.000000;0.000000;0.040849;0.000000
G4_MAIN;L001;AlLayer1;N16[298.220];0;0;0.000000;0.000000;0.003378;0.000000
G4_MAIN;L001;AlLayer1;N16[3353.000];0;0;0.000000;0.000000;2.529140;0.000000
G4_MAIN;L001;AlLayer1;N16[397.270];0;0;0.000000;0.000000;0.000936;0.000000
G4_MAIN;L001;AlLayer1;N16[4320.000];0;0;0.000000;0.000000;0.270103;0.000000
G4_MAIN;L001;AlLayer1;Na23;5829;0;58290.000000;0.000000;58290.000000;0.000000
G4_MAIN;L001;AlLayer1;Ne20;5928;0;59280.000000;0.000000;59280.000000;0.000000
G4_MAIN;L001;AlLayer1;Ni58;5950;0;59500.000000;0.000000;55163.942108;0.000000
G4_MAIN;L001;AlLayer1;O16;5957;0;59570.000000;0.000000;59577.319212;0.000000
G4_MAIN;L001;AlLayer1;O16[6129.890];0;0;0.000000;0.000000;0.018014;0.000000
G4_MAIN;L001;AlLayer1;O16[7116.850];0;0;0.000000;0.000000;0.000884;0.000000
G4_MAIN;L001;AlLayer1;P31;5893;0;58930.000000;0.000000;59236.612810;0.000000
G4_MAIN;L001;AlLayer1;S32;5882;0;58820.000000;0.000000;58924.048793;0.000000
G4_MAIN;L001;AlLayer1;Si28;5775;0;57750.000000;0.000000;57750.002247;0.000000
G4_MAIN;L001;AlLayer1;Si28[1779.030];0;0;0.000000;0.000000;0.004643;0.000000
G4_MAIN;L001;AlLayer1;U238;5753;0;57530.000000;0.000000;73629.129320;0.000000
G4_MAIN;L001;AlLayer1;Zn64;5879;0;58790.000000;0.000000;54529.457704;0.000000
G4_MAIN;L001;AlLayer1;alpha;0;0;0.000000;0.000000;72.396652;0.000000
G4_MAIN;L001;AlLayer1;anti_nu_e;115;6182;57.588446;15025.319101;0.000000;0.000000
G4_MAIN;L001;AlLayer1;e+;0;0;0.000000;0.000000;17.579315;0.000000
G4_MAIN;L001;AlLayer1;e-;10;3964;7.134244;7466.954718;5575.792645;0.000000
G4_MAIN;L001;AlLayer1;gamma;867;1078;545.724698;917.870279;0.091467;0.000000
G4_MAIN;L001;AlLayer1;neutron;1010;6891;102.851150;5262.271473;0.000000;0.000000
G4_MAIN;L001;AlLayer1;proton;5929;0;59290.000000;0.000000;59181.973171;0.000000
G4_MAIN;L002;PolyLayer;C12;0;0;0.000000;0.000000;72.864990;0.000000
G4_MAIN;L002;PolyLayer;C13;0;0;0.000000;0.000000;0.789088;0.000000
G4_MAIN;L002;PolyLayer;anti_nu_e;2859;2859;6753.754597;6753.754597;0.000000;0.000000
G4_MAIN;L002;PolyLayer;deuteron;0;0;0.000000;0.000000;0.203694;0.000000
G4_MAIN;L002;PolyLayer;e+;0;0;0.000000;0.000000;2.583896;0.000000
G4_MAIN;L002;PolyLayer;e-;22;20;10.114285;15.575312;281.665373;0.000000
G4_MAIN;L002;PolyLayer;gamma;865;1665;780.779766;1057.415194;0.068232;0.000000
G4_MAIN;L002;PolyLayer;neutron;2142;1909;1371.250171;253.070339;0.000000;0.000000
G4_MAIN;L002;PolyLayer;proton;0;0;0.000000;0.000000;1045.989780;0.000000
G4_MAIN;L003;WLayer;Re185;0;0;0.000000;0.000000;0.000013;0.000000
G4_MAIN;L003;WLayer;Re187;0;0;0.000000;0.000000;0.000374;0.000000
G4_MAIN;L003;WLayer;Re187[1230.120];0;0;0.000000;0.000000;0.000000;0.000000
G4_MAIN;L003;WLayer;Re187[134.244];0;0;0.000000;0.000000;0.000037;0.000000
G4_MAIN;L003;WLayer;Re187[206.247];0;0;0.000000;0.000000;0.000045;0.000000
G4_MAIN;L003;WLayer;Re187[511.768];0;0;0.000000;0.000000;0.000001;0.000000
G4_MAIN;L003;WLayer;Re187[589.143];0;0;0.000000;0.000000;0.000001;0.000000
G4_MAIN;L003;WLayer;Re187[618.369];0;0;0.000000;0.000000;0.000014;0.000000
G4_MAIN;L003;WLayer;Re187[625.516];0;0;0.000000;0.000000;0.000017;0.000000
G4_MAIN;L003;WLayer;Re187[685.795];0;0;0.000000;0.000000;0.000204;0.000000
G4_MAIN;L003;WLayer;Re187[772.876];0;0;0.000000;0.000000;0.000020;0.000000
G4_MAIN;L003;WLayer;Re187[864.556];0;0;0.000000;0.000000;0.000001;0.000000
G4_MAIN;L003;WLayer;Re187[879.465];0;0;0.000000;0.000000;0.000000;0.000000
G4_MAIN;L003;WLayer;Ta181;0;0;0.000000;0.000000;0.000000;0.000000
G4_MAIN;L003;WLayer;Ta181[6.237];0;0;0.000000;0.000000;0.000000;0.000000
G4_MAIN;L003;WLayer;W180;0;0;0.000000;0.000000;0.008523;0.000000
G4_MAIN;L003;WLayer;W181;0;0;0.000000;0.000000;0.000095;0.000000
G4_MAIN;L003;WLayer;W182;0;0;0.000000;0.000000;1.255021;0.000000
G4_MAIN;L003;WLayer;W183;0;0;0.000000;0.000000;0.596676;0.000000
G4_MAIN;L003;WLayer;W184;0;0;0.000000;0.000000;1.428527;0.000000
G4_MAIN;L003;WLayer;W185;0;0;0.000000;0.000000;0.006185;0.000000
G4_MAIN;L003;WLayer;W186;0;0;0.000000;0.000000;1.478777;0.000000
G4_MAIN;L003;WLayer;W187;0;0;0.000000;0.000000;0.013809;0.000000
G4_MAIN;L003;WLayer;anti_nu_e;2476;2745;6043.789378;6176.197982;0.000000;0.000000
G4_MAIN;L003;WLayer;e+;0;0;0.000000;0.000000;118.666881;0.000000
G4_MAIN;L003;WLayer;e-;10;19;8.441068;8.020349;2220.949531;0.000000
G4_MAIN;L003;WLayer;gamma;794;483;508.550713;500.679690;1.577471;0.000000
G4_MAIN;L003;WLayer;neutron;1035;579;181.230334;133.796613;0.000000;0.000000
G4_MAIN;L003;WLayer;nu_e;0;2;0.000000;0.380651;0.000000;0.000000
G4_MAIN;L004;PbLayer;Pb204;0;0;0.000000;0.000000;0.032011;0.000000
G4_MAIN;L004;PbLayer;Pb206;0;0;0.000000;0.000000;0.220135;0.000000
G4_MAIN;L004;PbLayer;Pb207;0;0;0.000000;0.000000;0.298746;0.000000
G4_MAIN;L004;PbLayer;Pb208;0;0;0.000000;0.000000;0.597817;0.000000
G4_MAIN;L004;PbLayer;anti_nu_e;2357;2357;5483.496465;5483.496465;0.000000;0.000000
G4_MAIN;L004;PbLayer;e-;0;0;0.000000;0.000000;49.807836;0.000000
G4_MAIN;L004;PbLayer;gamma;36;5;52.826331;3.784344;0.037250;0.000000
G4_MAIN;L004;PbLayer;neutron;279;279;76.801148;74.849584;0.000000;0.000000
G4_MAIN;L004;PbLayer;nu_e;2;2;0.380651;0.380651;0.000000;0.000000
G4_MAIN;L005;AlLayer2;Al27;0;0;0.000000;0.000000;4.425121;0.000000
G4_MAIN;L005;AlLayer2;Al28;0;0;0.000000;0.000000;0.002032;0.000000
G4_MAIN;L005;AlLayer2;Si28;0;0;0.000000;0.000000;0.000061;0.000000
G4_MAIN;L005;AlLayer2;Si28[1779.030];0;0;0.000000;0.000000;0.000052;0.000000
G4_MAIN;L005;AlLayer2;anti_nu_e;2129;2130;4946.179936;4948.195633;0.000000;0.000000
G4_MAIN;L005;AlLayer2;e-;0;0;0.000000;0.000000;9.601468;0.000000
G4_MAIN;L005;AlLayer2;gamma;3;9;2.089016;6.446876;0.000251;0.000000
G4_MAIN;L005;AlLayer2;neutron;143;142;43.838439;38.402048;0.000000;0.000000
G4_MAIN;L005;AlLayer2;nu_e;2;2;0.380651;0.380651;0.000000;0.000000
G4_MAIN;L006;Detector;anti_nu_e;1898;1898;4409.875292;4409.875292;0.000000;0.000000
G4_MAIN;L006;Detector;gamma;3;3;2.038461;2.038461;0.000000;0.000000
G4_MAIN;L006;Detector;neutron;88;88;24.651776;24.651776;0.000000;0.000000
G4_MAIN;L006;Detector;nu_e;2;2;0.380651;0.380651;0.000000;0.000000
